database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,gen,0,0.8,3,Consensus,0.8018333333333333,0.19816666666666666,0.096,0.18357142857142858
unite,gen,0,0.8,5,RDP,0.7768333333333334,0.22316666666666668,0.091,0.2042857142857143
unite,gen,0,0.8,5,BLAST,0.79,0.21,0.007,0.181
unite,gen,0,0.8,5,SINTAX,0.7486666666666667,0.25133333333333335,0.0,0.21542857142857144
unite,gen,0,0.8,5,Consensus,0.8016666666666666,0.19833333333333333,0.094,0.18342857142857144
unite,gen,0,0.8,10,RDP,0.7763333333333333,0.22366666666666668,0.091,0.2047142857142857
unite,gen,0,0.8,10,BLAST,0.7728333333333334,0.22716666666666666,0.001,0.19485714285714287
unite,gen,0,0.8,10,SINTAX,0.7486666666666667,0.25133333333333335,0.0,0.21542857142857144
unite,gen,0,0.8,10,Consensus,0.7976666666666666,0.20233333333333334,0.092,0.18657142857142858
unite,gen,0,0.8,20,RDP,0.7763333333333333,0.22366666666666668,0.091,0.2047142857142857
unite,gen,0,0.8,20,BLAST,0.747,0.253,0.001,0.217
unite,gen,0,0.8,20,SINTAX,0.7486666666666667,0.25133333333333335,0.0,0.21542857142857144
unite,gen,0,0.8,20,Consensus,0.7941666666666667,0.20583333333333334,0.092,0.18957142857142859
unite,gen,0,1.0,5,RDP,0.6846666666666666,0.31533333333333335,0.036,0.2754285714285714
unite,gen,0,1.0,5,BLAST,0.7663333333333333,0.23366666666666666,0.006,0.20114285714285715
unite,gen,0,1.0,5,SINTAX,0.5843333333333334,0.4156666666666667,0.0,0.35628571428571426
unite,gen,0,1.0,5,Consensus,0.7846666666666666,0.21533333333333332,0.038,0.19
unite,gen,0,1.0,20,RDP,0.6846666666666666,0.31533333333333335,0.036,0.2754285714285714
unite,gen,0,1.0,20,BLAST,0.7,0.3,0.0,0.2571428571428571
unite,gen,0,1.0,20,SINTAX,0.5843333333333334,0.4156666666666667,0.0,0.35628571428571426
unite,gen,0,1.0,20,Consensus,0.7593333333333333,0.24066666666666667,0.036,0.21142857142857144
unite,gen,1,0.2,5,RDP,0.7995,0.2005,0.363,0.22371428571428573
unite,gen,1,0.2,5,BLAST,0.7926666666666666,0.20733333333333334,0.712,0.2794285714285714
unite,gen,1,0.2,5,SINTAX,0.8075,0.1925,0.0,0.165
unite,gen,1,0.2,5,Consensus,0.7955,0.2045,0.477,0.24342857142857144
unite,gen,1,0.2,20,RDP,0.7995,0.2005,0.363,0.22371428571428573
unite,gen,1,0.2,20,BLAST,0.777,0.223,0.215,0.22185714285714286
unite,gen,1,0.2,20,SINTAX,0.8075,0.1925,0.0,0.165
unite,gen,1,0.2,20,Consensus,0.7895,0.2105,0.446,0.24414285714285713
unite,gen,1,0.4,5,RDP,0.7966666666666666,0.20333333333333334,0.215,0.205
unite,gen,1,0.4,5,BLAST,0.7948333333333333,0.20516666666666666,0.279,0.21571428571428572
unite,gen,1,0.4,5,SINTAX,0.7935,0.2065,0.0,0.177
unite,gen,1,0.4,5,Consensus,0.7938333333333333,0.20616666666666666,0.384,0.23157142857142857
unite,gen,1,0.4,20,RDP,0.7966666666666666,0.20333333333333334,0.215,0.205
